,C_index
MYH14,0.8382642998027613
HAX1,0.8333333333333334
SLC25A38,0.8274161735700197
PPP1R3C,0.8214990138067061
BTBD6,0.8165680473372781
ENPP2,0.8165680473372781
ZNF580,0.814595660749507
FAM189A2,0.8136094674556213
SLC44A3,0.8136094674556213
HDAC11,0.8126232741617357
NECAB2,0.8116370808678501
BUD23,0.8116370808678501
POLR2J,0.8116370808678501
NDN,0.8106508875739645
CITED1,0.8106508875739645
LIMS2,0.8086785009861933
POMGNT2,0.8086785009861933
GUSB,0.8086785009861933
CEBPB,0.8037475345167653
S100A13,0.7998027613412229
MRPL24,0.796844181459566
PMVK,0.7948717948717948
KDELR3,0.7938856015779092
S100A6,0.7938856015779092
TUBB4A,0.7928994082840237
SLIRP,0.7919132149901381
PRKCD,0.7919132149901381
PFKP,0.7919132149901381
SCAP,0.7889546351084813
PLXNB1,0.7889546351084813
COX6C,0.7879684418145957
TAGLN2,0.7869822485207101
NDUFB1,0.7859960552268245
P2RX4,0.7859960552268245
EEFSEC,0.7850098619329389
CLEC11A,0.7850098619329389
ROMO1,0.7840236686390533
TFAP2A,0.7830374753451677
CSTB,0.7810650887573964
HES6,0.7810650887573964
PSMG3,0.7810650887573964
SSBP1,0.7800788954635108
TESK1,0.7790927021696252
BAIAP2L2,0.7790927021696252
HTR2B,0.7790927021696252
RBP7,0.7781065088757396
SNRPG,0.777120315581854
SFXN3,0.777120315581854
CDKN2AIPNL,0.777120315581854
SPON2,0.777120315581854
ITPA,0.7761341222879684
GYG2,0.7761341222879684
ZER1,0.7751479289940828
SLC45A2,0.7751479289940828
JUP,0.7741617357001972
ALG5,0.7741617357001972
UQCRQ,0.7731755424063116
ELOC,0.7731755424063116
NDUFA1,0.7731755424063116
FKBP11,0.7731755424063116
HACD1,0.772189349112426
HMCES,0.772189349112426
NDUFB9,0.7712031558185405
UFC1,0.7712031558185405
IP6K1,0.7702169625246549
IDH2,0.7702169625246549
AIFM2,0.7702169625246549
LAMA5,0.7702169625246549
CYC1,0.7702169625246549
NDUFA6,0.7692307692307693
POP7,0.7692307692307693
LAMB2,0.7682445759368837
MGST3,0.7682445759368837
C4orf48,0.7682445759368837
IGFBP2,0.7672583826429981
DECR1,0.7672583826429981
AZGP1,0.7662721893491125
DDX39A,0.7652859960552268
JAG2,0.7642998027613412
ARMC9,0.7642998027613412
TIMP3,0.7633136094674556
GSTA3,0.76232741617357
POMP,0.76232741617357
LAMTOR2,0.76232741617357
ABHD11,0.76232741617357
ZBED1,0.7613412228796844
PTP4A3,0.7613412228796844
ACTB,0.7613412228796844
MGST2,0.7603550295857988
NDUFB2,0.7603550295857988
TRPV2,0.7593688362919132
ATP5MF,0.7593688362919132
TOR3A,0.7583826429980276
MRPL52,0.7583826429980276
LCMT1,0.7583826429980276
EDNRB,0.757396449704142
ADCK5,0.757396449704142
MPV17L2,0.757396449704142
CTSF,0.757396449704142
MRPL40,0.757396449704142
TRIB1,0.7564102564102564
LGALS1,0.7564102564102564
PNKP,0.7564102564102564
NAA38,0.7564102564102564
ATP5MC3,0.7564102564102564
ASS1,0.7554240631163708
EXTL1,0.7554240631163708
PTPN23,0.7554240631163708
PRDX4,0.7554240631163708
JAGN1,0.7544378698224852
COL18A1,0.7544378698224852
USP19,0.7544378698224852
CALCOCO1,0.7544378698224852
VGF,0.7544378698224852
CHAC1,0.7534516765285996
PPIA,0.7534516765285996
LTBR,0.7534516765285996
TYSND1,0.7534516765285996
COX6A1,0.7534516765285996
H1-10,0.752465483234714
RRP9,0.752465483234714
CHMP2A,0.7514792899408284
DVL3,0.7514792899408284
ECM1,0.7514792899408284
RFC2,0.7504930966469427
DERL1,0.7504930966469427
CCND3,0.7504930966469427
KIRREL1,0.7504930966469427
NATD1,0.7504930966469427
